problem,instance,sat,smt-bv-flat,smt-bv-nested,smt-idl-flat,smt-idl-nested,smt-lia-flat,smt-lia-nested,smt-nia-flat,smt-nia-nested,sat ratio to SAT,smt-bv-flat ratio to SAT,smt-bv-nested ratio to SAT,smt-idl-flat ratio to SAT,smt-idl-nested ratio to SAT,smt-lia-flat ratio to SAT,smt-lia-nested ratio to SAT,smt-nia-flat ratio to SAT,smt-nia-nested ratio to SAT
aces-up,test-6,2513986,26592,26262,1487360,1487360,157623,146969,26592,26262,1.0,0.010577624537288593,0.010446358889826753,0.5916341618449745,0.5916341618449745,0.06269843984811371,0.058460548308542686,0.010577624537288593,0.010446358889826753
aces-up,test-7,22587,3183,3183,3183,3183,3183,3183,3183,3183,1.0,0.1409217691592509,0.1409217691592509,0.1409217691592509,0.1409217691592509,0.1409217691592509,0.1409217691592509,0.1409217691592509,0.1409217691592509
aces-up,test-8,93787,1629,1629,1629,1629,1629,1629,1629,1629,1.0,0.0173691449774489,0.0173691449774489,0.0173691449774489,0.0173691449774489,0.0173691449774489,0.0173691449774489,0.0173691449774489,0.0173691449774489
aces-up,test-9,2650586,28419,28083,1492471,1492471,162870,151958,28419,28083,1.0,0.010721780013928995,0.010595015592778352,0.5630720904735783,0.5630720904735783,0.06144678950239683,0.0573299640155045,0.010721780013928995,0.010595015592778352
bayesiannets,asia-10000,NA,503,503,NA,NA,497,497,434,434,NA,NA,NA,NA,NA,NA,NA,NA,NA
bibd-implied,bibd-miguel-hard,55209,1728,1047,59362,59362,3771,3771,1728,1047,1.0,0.03129924468836603,0.01896429929902733,1.0752232425872594,1.0752232425872594,0.06830408085638211,0.06830408085638211,0.03129924468836603,0.01896429929902733
bibd-implied,bibdline1,166252,3094,1981,175374,175374,6433,6433,3094,1981,1.0,0.01861030243245194,0.011915646127565382,1.0548685128599957,1.0548685128599957,0.03869427134711161,0.03869427134711161,0.01861030243245194,0.011915646127565382
bibd-implied,bibdline2,351571,4674,2981,367998,367998,9753,9753,4674,2981,1.0,0.013294611899161193,0.008479083883482995,1.04672455919288,1.04672455919288,0.027741195946195788,0.027741195946195788,0.013294611899161193,0.008479083883482995
bibd-implied,bibdline3,593189,6254,3981,617532,617532,13073,13073,6254,3981,1.0,0.010543014115231402,0.006711183113645061,1.041037510810214,1.041037510810214,0.022038507119990426,0.022038507119990426,0.010543014115231402,0.006711183113645061
bibd-implied,bibdline4,743620,7044,4481,772097,772097,14733,14733,7044,4481,1.0,0.009472580081224282,0.0060259272208923916,1.0382950969581237,1.0382950969581237,0.01981253866221995,0.01981253866221995,0.009472580081224282,0.0060259272208923916
bibd-implied,puget1,16343,850,529,17535,17535,1813,1813,850,529,1.0,0.05201003487731751,0.03236859817658937,1.072936425380897,1.072936425380897,0.11093434497950193,0.11093434497950193,0.05201003487731751,0.03236859817658937
bibd-implied,puget10,49669,3290,1352,54640,54640,9104,9104,3290,1352,1.0,0.06623849886246955,0.02722019770883247,1.100082546457549,1.100082546457549,0.1832934023233808,0.1832934023233808,0.06623849886246955,0.02722019770883247
bibd-implied,puget11,19988,2124,955,19174,19174,5904,5904,2124,955,1.0,0.10626375825495298,0.047778667200320195,0.9592755653392036,0.9592755653392036,0.2953772263358015,0.2953772263358015,0.10626375825495298,0.047778667200320195
bibd-implied,puget12,124268,3938,2114,132962,132962,9410,9410,3938,2114,1.0,0.03168957414620015,0.017011620046995204,1.0699616956899605,1.0699616956899605,0.07572343644381498,0.07572343644381498,0.03168957414620015,0.017011620046995204
bibd-implied,puget13,57282,3758,1422,63642,63642,10766,10766,3758,1422,1.0,0.06560525121329562,0.024824552215355608,1.111029642819734,1.111029642819734,0.18794734820711567,0.18794734820711567,0.06560525121329562,0.024824552215355608
bibd-implied,puget14,148012,5365,2631,159226,159226,13567,13567,5365,2631,1.0,0.03624706104910413,0.017775585763316486,1.075764127232927,1.075764127232927,0.09166148690646704,0.09166148690646704,0.03624706104910413,0.017775585763316486
bibd-implied,puget15,206792,5245,2804,220630,220630,12568,12568,5245,2804,1.0,0.02536365043135131,0.0135595187434717,1.066917482301056,1.066917482301056,0.06077604549499013,0.06077604549499013,0.02536365043135131,0.0135595187434717
bibd-implied,puget16,213888,7330,3397,230660,230660,19129,19129,7330,3397,1.0,0.034270272292040695,0.015882143925792937,1.0784148713345303,1.0784148713345303,0.08943465739078396,0.08943465739078396,0.034270272292040695,0.015882143925792937
bibd-implied,puget17,23890,2129,934,25580,25580,5759,5759,2129,934,1.0,0.08911678526580159,0.03909585600669736,1.0707408957722897,1.0707408957722897,0.24106320636249476,0.24106320636249476,0.08911678526580159,0.03909585600669736
bibd-implied,puget18,34786,2997,1373,34017,34017,8103,8103,2997,1373,1.0,0.0861553498533893,0.03946990168458575,0.9778934053929742,0.9778934053929742,0.232938538492497,0.232938538492497,0.0861553498533893,0.03946990168458575
bibd-implied,puget19,123337,6383,2779,133010,133010,17204,17204,6383,2779,1.0,0.051752515465756425,0.022531762569220914,1.0784273981043806,1.0784273981043806,0.13948774495893365,0.13948774495893365,0.051752515465756425,0.022531762569220914
bibd-implied,puget2,47904,1514,981,50915,50915,3113,3113,1514,981,1.0,0.03160487641950568,0.020478456913827655,1.0628548764195056,1.0628548764195056,0.06498413493653975,0.06498413493653975,0.03160487641950568,0.020478456913827655
bibd-implied,puget20,30221,2407,1055,32531,32531,6493,6493,2407,1055,1.0,0.07964660335528274,0.03490950001654479,1.0764369147281692,1.0764369147281692,0.21485060057575858,0.21485060057575858,0.07964660335528274,0.03490950001654479
bibd-implied,puget21,126502,8309,2579,142308,142308,25499,25499,8309,2579,1.0,0.06568275600385765,0.020387029454079778,1.1249466411598235,1.1249466411598235,0.20156993565319126,0.20156993565319126,0.06568275600385765,0.020387029454079778
bibd-implied,puget22,78309,7985,2589,76768,76768,24932,24932,7985,2589,1.0,0.1019678453306772,0.0330613339462897,0.9803215466932281,0.9803215466932281,0.3183797520080706,0.3183797520080706,0.1019678453306772,0.0330613339462897
